name,long,lat
Kajitsu,-73.977721,40.7498532
Beyond Sushi,-73.9884826,40.7524772
The Cinnamon Snail,-73.99246099999999,40.749724
by CHLOE. Rock Center,-73.9788603,40.7577274
P.S. Kitchen,-73.986627,40.760662
Blue Dog Cookhouse & Bar,-73.98696679999999,40.7625572
Two Tablespoons,-73.9766829,40.7545228
Green Symphony,-73.9885419,40.7576912
Beyond Sushi,-73.9771943,40.7632892
Blossom du Jour,-73.992086,40.759611
Kare Thai,-73.99095969999999,40.7653708
fresh&co,-73.980403,40.7654765
Chef's Secret,-73.9740893,40.7532738
Healthy At The Garden,-73.9934823,40.7500909
Stone Bridge Pizza & Salad,-73.98065729999999,40.7522841
Badshah,-73.98758240000001,40.7648455
Taco Dumbo,-73.977411,40.76039
fresh&co,-73.982513,40.758677
fresh&co,-73.97780399999999,40.7638724
Jerusalem Cafe,-73.984303,40.7502231
Terras at CIVANA,-111.9091661,33.8225788
CIVANA Spa and Resort,-111.9092388,33.8228984
Curry Up Now,-122.3235831,37.5668452
Thonglor Thai Bistro,-122.3228988,37.5641598
sweetgreen,-122.3259359,37.563364
Clay Oven Cuisine of India,-122.3244817,37.5638887
Hummus Mediterranean Kitchen,-122.322577,37.5637307
Avocado Toast,-122.3225961,37.5652582
Inchin's Bamboo Garden,-122.32337,37.566768
Wursthall,-122.324631,37.567287
Best of Burma Restaurant,-122.323615,37.5644621
Pancho Villa Taqueria,-122.3216043,37.5650382
Three Craft Kitchen & Bar,-122.324839,37.5635868
Jeffrey's Hamburgers,-122.3242923,37.5670789
Taqueria La Cumbre SM,-122.3247243,37.5680926
Ike's Place,-122.3193355,37.5674695
Osteria Coppa,-122.32337,37.566768
31st Union,-122.3248422,37.5670756
Little China Kitchen,-122.3229773,37.5653363
New Wing Fat Chinese Restaurant,-122.3194371,37.5671333
Amici's East Coast Pizzeria,-122.3248565,37.5640816
B Street & Vine,-122.322333,37.565168
Enjoy Vegetarian,-122.4052477,37.7958182
